Data;Nr.;Intrebare;Varianta;Raspuns
"30 Sep 2011  14:26:42";34;"Daca ati avea o ruda apropiata diagnosticata intr-un stadiu avansat de cancer, care ar fi atitudinea dvs.?";"As insista sa se continue tratamentul";
"30 Sep 2011  14:26:42";35;"In final, va rugam sa ne oferiti sugestiile dumneavoastra in legatura cu necesitatea derularii unor studii/cercetari legate de pacientii aflati in stadiul terminal.";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";36;Varsta;"35-45 ani";
"30 Sep 2011  14:26:42";37;Genul;F;
"30 Sep 2011  14:26:42";38;"Care este localitatea dvs. de resedinta si practica medicala?";;Deva
"30 Sep 2011  14:26:42";39;"Care este apartenenta dvs. religioasa?";;Ortodoxa
"30 Sep 2011  14:26:42";40;"Care este specialitatea dvs.?";;"Psihiatrie Pediatrica"
"30 Sep 2011  14:26:42";41;"Ce cursuri postuniversitare ati absolvit?";;"Multe, dar nici unul in domeniul oncologic"
"30 Sep 2011  14:26:42";42;"Ce supraspecializari/competente aveti?";;"Nu am"
"30 Sep 2011  14:26:42";43;"Cati ani vechime in profesie aveti?";"2-5 ani";
"30 Sep 2011  16:28:21";1;"Considerati ca diagnosticul bolii oncologice si iminenta mortii bolnavului sunt subiecte evitate in societatea romaneasca actuala? ";"In majoritatea cazurilor";
"30 Sep 2011  16:28:21";2;"Cui ati comunica un astfel de diagnostic?";"Alt raspuns";"Pacientului in primul rand, familiei in al doilea, iar in al treilea rand m-as adresa unor servicii capabile sa asigure un suport psihologic si social."
"30 Sep 2011  16:28:21";3;"Ati evitat sa comunicati diagnosticul de boala oncologica si/sau moarte iminenta pacientului? Daca da, in ce circumstante?";Uneori;
"30 Sep 2011  16:28:21";4;"Care credeti ca sunt trasaturile esentiale care definesc demnitatea unui pacient?";;"In acest caz demnitatea unui pacient ar trebui sa reprezinte posibilitatea de a decide el insusi asupra modului in care ar dori sa-si sfarseasca viata si de a avea controlul asupra acestei grave situatii."
"30 Sep 2011  16:28:21";5;"Cum reactioneaza pacientii la aflarea diagnosticului si/sau prognosticului de stare terminala?";;"Majoritatea dezvolta depresii din care nu mai sunt recuperati. Prima reactie de cele mai multe ori e de teroare, apoi de deznadejde, rareori de furie sau si mai rar de acceptare."
"30 Sep 2011  16:28:21";6;"Cum reactioneaza membrii familiilor pacientilor carora li se comunica un diagnostic si/sau prognostic de stare terminala?";;"Poate aici e evidenta lipsa de educatie, dar majoritatea apartinatorilor NU constituie un suport psihologic pentru pacient. Cei mai multi reactioneaza agresiv la adresa cadrelor medicale, considerand  ori ca este o greseala a acestora si diagnosticul e incorect, ori ca nu s-a facut suficient pentru a evita acest stadiu. Isi exprima furia, disperarea, durerea la patul bolnavului iar acesta e pus de cele mai multe ori in situatia de a-si face griji si pentru familie."
"30 Sep 2011  16:28:21";7;"Cum face fata grupul familial, atunci cand unul din membrii lui are nevoie de ingrijire continua in faza terminala a bolii oncologice?";;"Majoritatea &quot;grupurilor familiale&quot; isi abandoneaza membrii bolnavi in spitale, motivand prin lipsa suportului fizic, financiar, sau psihologic. Una din cele mai frecvente expresii: &quot;nu pot sa ma ocup de el, si in plus am copil mic acasa&quot;."
"30 Sep 2011  16:28:21";8;"Considerati ca pacientului trebuie sa i se comunice toate detaliile legate de diagnosticul si prognosticul bolii sale? Va rugam sa motivati raspunsul.";Da;"DA, pacientul, pentru a-si pastra demnitatea UMANA inainte de final, trebuie sa fie informat asupra tuturor chestiunilor care tin de diagnostic si prognostic, poate chiar sa i se sugereze o a doua opinie."
"30 Sep 2011  16:28:21";9;"Ce tratamente ati aplica unui pacient aflat in stare terminala?";"Tratament paliativ pentru controlul simptomelor(durere, dispnee, anxietate, etc.)";
"30 Sep 2011  16:28:21";10;"Care sunt diferentele dintre un pacient aflat in stare terminala si unul cu posibilitati terapeutice?";;"Starea pacientului in stare terminala duce in scurt timp spre deces, fara a exista un mijloc terapeutic pentru a preveni acest lucru."
"30 Sep 2011  16:28:21";11;"Posibilitatea de evolutie nefavorabila, uneori spre deces, a afectiunilor oncologice contribuie la pregatirea bolnavului suferind si a apartinatorilor acestuia pentru sfarsitul inevitabil? Va rugam sa motivati raspunsul.";Da;"In cazul unei afectiuni maligne, bolnavul trebuie sa ia mereu in calcul  si posibilitatea decesului."
"30 Sep 2011  16:28:21";12;"Care sunt cele mai suparatoare simptome cu care se confrunta un pacient aflat in stare terminala? Enumerati minim 5 in ordinea crescatoare a intesitatii pe care le-o atribuiti.";;"dispneea, durerea, "
"30 Sep 2011  16:28:21";13;"Care credeti ca sunt cei mai importanti 5 factori care influenteaza demnitatea unui pacient aflat in stare terminala, in ordinea crescatoare a importantei pe care le-o acordati?";;"imobilizarea, pierderea independentei"
"30 Sep 2011  16:28:21";14;"Credinta religioasa contribuie la confortul psihic al bolnavilor?";Da;
"30 Sep 2011  16:28:21";15;"Prezenta serviciilor paliative in Romania de aproape de 20 de ani se reflecta in cunoasterea acestor servicii de catre populatie?";Nu;
"30 Sep 2011  16:28:21";16;"Ce inseamna pentru dvs. paliatia/medicina paliativa?";;"medicina care trateaza simptomatic, oferind un confort pacientului aflat intr-o faza terminala"
"30 Sep 2011  16:28:21";17;"Care sunt specialistii de care ar avea nevoie un pacient aflat in stare terminala pentru a primi cele mai potrivite ingrijiri?";;"consult anesteziologic/oncologic/terapia durerii, psiholog, centru de tratament la domiciliu, serviciu social, preot"
"30 Sep 2011  16:28:21";18;"Ati avut in ingrijire pacienti aflati in stare terminala?";Lunar;
"30 Sep 2011  16:28:21";19;"Enumerati minim 5 probleme cu care credeti ca se confrunta pacientul aflat in stare terminala in ordinea crescatoare a frecventei sau importantei acestora?";;"luarea de catre altii a deciziilor in ceea ce priveste viata lor, imobilizarea, pierderea independentei si transformarea in ochii celorlalti dintr-o persoana intr-un &quot;obiect&quot;. "
"30 Sep 2011  16:28:21";20;"Care sunt cele mai frecvente greseli pe care le face un medic in abordarea pacientul aflat in stare terminala?";;"Axarea asupra bolii si ignorarea pacientului. Daca boala nu mai are tratament, pacientul nu mai prezinta importanta."
"30 Sep 2011  16:28:21";21;"Considerati ca exista diferente intre starea terminala si faza terminala? Daca  da, care sunt acestea?";;"Starea terminala reprezinta starea de iminenta de deces. Faza terminala a unei boli este faza care nu mai are sanctiune terapeutica."
"30 Sep 2011  16:28:21";22;"Considerati ca medicul poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale activitatii sale.";;"Legal medicii nu sunt prea bine acoperiti, iar legile nu le sunt tuturor cunoscute."
"30 Sep 2011  16:28:21";23;"Considerati ca sistemul de sanatate din Romania poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale acestuia.";;"Nu. Nu are nici un punct tare iar punctele slabe sunt prea numeroase pentru a fi mentionate."
"30 Sep 2011  16:28:21";24;"Controlul durerii este un lucru bun si important in asistenta pacientului terminal?";;"Cu certitudine."
"30 Sep 2011  16:28:21";25;"Unde ar fi mai potrivit sa fie ingrijit un pacient aflat in stare terminala";"Acasa, de catre echipa de ingrijiri paliative";
"30 Sep 2011  16:28:21";26;"Cine trebuie sa decida renuntarea la tratamentul curativ si trecerea la ingrijirile paliative in cazul unuipacient in stare terminala, competent decizional?";Pacientul;
"30 Sep 2011  16:28:21";27;"Care tip de ingrijire este cel mai indicat, in opinia dvs., pentru un pacient aflat in stare terminala?";;"tratament paleativ"
"30 Sep 2011  16:28:21";28;"Directiva in avans ar fi un instrument util in practica medicala? Va rugam sa motivati raspunsul.";Da;
"30 Sep 2011  16:28:21";29;"Cine considerati ca trebuie sa decida asupra tratamentului si ingrijirilor unui pacient aflat in stare terminala, competent decizional?";Pacientul;
"30 Sep 2011  16:28:21";30;"Cine considerati ca trebuie sa decida asupra tratamentului si ingrijirilor unui pacient aflat in stare terminala, incompetent decizional?";Familia;
"30 Sep 2011  16:28:21";31;"Credeti ca societatea romaneasca ar accepta introducerea directivei in avans?";Da;
"30 Sep 2011  16:28:21";32;"Ce informatii considerati ca ar trebui sa cuprinda directiva in avans?";;"Clarificarea situatiilor in care se aplica si acele in care se anuleaza.
Ce fel de masuri se doresc a fi luate si ce fel de masuri nu se doresc a fi luate.
Daca informatiile nu vor fi suficient de clare, directiva se aplica defectuos, cu risc crescut de abuz."
"30 Sep 2011  16:28:21";33;"Este pacientul terminal o povara psihologica pentru medic? Va rugam sa motivati raspunsul.";Da;
"30 Sep 2011  16:28:21";34;"Daca ati avea o ruda apropiata diagnosticata intr-un stadiu avansat de cancer, care ar fi atitudinea dvs.?";"As lasa pacientul sa aleaga";
"30 Sep 2011  16:28:21";35;"In final, va rugam sa ne oferiti sugestiile dumneavoastra in legatura cu necesitatea derularii unor studii/cercetari legate de pacientii aflati in stadiul terminal.";;"Aceste studii sunt necesare, ar fi de sperat sa aiba si rezultate vizibile"
"30 Sep 2011  16:28:21";36;Varsta;"25-35 ani";
"30 Sep 2011  16:28:21";37;Genul;F;
"30 Sep 2011  16:28:21";38;"Care este localitatea dvs. de resedinta si practica medicala?";;Cluj
"30 Sep 2011  16:28:21";39;"Care este apartenenta dvs. religioasa?";;catolica
"30 Sep 2011  16:28:21";40;"Care este specialitatea dvs.?";;ATI
"30 Sep 2011  16:28:21";41;"Ce cursuri postuniversitare ati absolvit?";;-
"30 Sep 2011  16:28:21";42;"Ce supraspecializari/competente aveti?";;-
"30 Sep 2011  16:28:21";43;"Cati ani vechime in profesie aveti?";"5-10 ani";
"30 Sep 2011  16:57:21";1;"Considerati ca diagnosticul bolii oncologice si iminenta mortii bolnavului sunt subiecte evitate in societatea romaneasca actuala? ";"In majoritatea cazurilor";
"30 Sep 2011  16:57:21";2;"Cui ati comunica un astfel de diagnostic?";Pacientului;"Cred ca pacientul trebuie sa stie ce-l asteapta si care sunt stadiile si etapele bolii ca sa poate sa-si organizeze si planifice viata asa cum crede de cuvinta el."
"30 Sep 2011  16:57:21";3;"Ati evitat sa comunicati diagnosticul de boala oncologica si/sau moarte iminenta pacientului? Daca da, in ce circumstante?";Uneori;"Eu am pacienti cu urgente medicale la care stirea de moarte iminenente influenteaza in rau starea pacientului si de obicei survine brusc ."
"30 Sep 2011  16:57:21";4;"Care credeti ca sunt trasaturile esentiale care definesc demnitatea unui pacient?";;"Constiinta,simtul realitatii 
 posibilitatea de a se spala, hrani si mobiliza singur"
"30 Sep 2011  16:57:21";5;"Cum reactioneaza pacientii la aflarea diagnosticului si/sau prognosticului de stare terminala?";;"reactia in fata mortii depinde de fiecare pacient in parte de educatia ,cultura si religia fiecaruia"
"30 Sep 2011  16:57:21";6;"Cum reactioneaza membrii familiilor pacientilor carora li se comunica un diagnostic si/sau prognostic de stare terminala?";;"de obicei apare negarea si incercarea de a face tot ce se poate pentru videcarea pacientului , nu este usor sa accepti un astfel de prognostic  chiar si in cazul suferintelor lungi "
"30 Sep 2011  16:57:21";7;"Cum face fata grupul familial, atunci cand unul din membrii lui are nevoie de ingrijire continua in faza terminala a bolii oncologice?";;"In functie de fiecare familie in parte , dupa posibilitatile materiale si de cele sociale , se incearca asistenta la domiciliu sau in spitale"
"30 Sep 2011  16:57:21";8;"Considerati ca pacientului trebuie sa i se comunice toate detaliile legate de diagnosticul si prognosticul bolii sale? Va rugam sa motivati raspunsul.";Da;
"30 Sep 2011  16:57:21";9;"Ce tratamente ati aplica unui pacient aflat in stare terminala?";"Tratament paliativ pentru controlul simptomelor(durere, dispnee, anxietate, etc.)";
"30 Sep 2011  16:57:21";10;"Care sunt diferentele dintre un pacient aflat in stare terminala si unul cu posibilitati terapeutice?";;"Orice pacient are dreptul la toate tratamentele pina in in ultimul moment al bolii/vietii"
"30 Sep 2011  16:57:21";11;"Posibilitatea de evolutie nefavorabila, uneori spre deces, a afectiunilor oncologice contribuie la pregatirea bolnavului suferind si a apartinatorilor acestuia pentru sfarsitul inevitabil? Va rugam sa motivati raspunsul.";Da;
"30 Sep 2011  16:57:21";12;"Care sunt cele mai suparatoare simptome cu care se confrunta un pacient aflat in stare terminala? Enumerati minim 5 in ordinea crescatoare a intesitatii pe care le-o atribuiti.";;"disperarea si neputinta in fata soartei/bolii, durerea , imobilizarea , depresia despartirii de cei dragi ,imposibilitatea de a se ingriji singur, dependenta de medicamente si starea de rau pe care o dau acestea"
"30 Sep 2011  16:57:21";13;"Care credeti ca sunt cei mai importanti 5 factori care influenteaza demnitatea unui pacient aflat in stare terminala, in ordinea crescatoare a importantei pe care le-o acordati?";;"imobilizarea, dependenta de droguri si de apartinatinatori, lipsa posibilitatii de a lua decizii, imposibilitatea de a se hrani, spala, a-si face igiena zilnica"
"30 Sep 2011  16:57:21";14;"Credinta religioasa contribuie la confortul psihic al bolnavilor?";Da;
"30 Sep 2011  16:57:21";15;"Prezenta serviciilor paliative in Romania de aproape de 20 de ani se reflecta in cunoasterea acestor servicii de catre populatie?";Nu;
"30 Sep 2011  16:57:21";16;"Ce inseamna pentru dvs. paliatia/medicina paliativa?";;"medicatia antialgica,sustinerea cardiaca, respiratorie, tratarea altor simtome sau boli asociate "
"30 Sep 2011  16:57:21";17;"Care sunt specialistii de care ar avea nevoie un pacient aflat in stare terminala pentru a primi cele mai potrivite ingrijiri?";;"in functie de cauza bolii si simtomatologia pacientilor"
"30 Sep 2011  16:57:21";18;"Ati avut in ingrijire pacienti aflati in stare terminala?";Niciodata;
"30 Sep 2011  16:57:21";19;"Enumerati minim 5 probleme cu care credeti ca se confrunta pacientul aflat in stare terminala in ordinea crescatoare a frecventei sau importantei acestora?";;"a mai fost aceasta intrebare"
"30 Sep 2011  16:57:21";20;"Care sunt cele mai frecvente greseli pe care le face un medic in abordarea pacientul aflat in stare terminala?";;"nu stiu"
"30 Sep 2011  16:57:21";21;"Considerati ca exista diferente intre starea terminala si faza terminala? Daca  da, care sunt acestea?";;timpul
"30 Sep 2011  16:57:21";22;"Considerati ca medicul poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale activitatii sale.";;"fara conditiile, medicamentele si legile respective "
"30 Sep 2011  16:57:21";23;"Considerati ca sistemul de sanatate din Romania poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale acestuia.";;"sistemul actual nu respecta nevoile nici ale pacientilor tratabili ,nici ale celor in faza terminala, si nici ale medicilor"
"30 Sep 2011  16:57:21";24;"Controlul durerii este un lucru bun si important in asistenta pacientului terminal?";;"este esentiala"
"30 Sep 2011  16:57:21";25;"Unde ar fi mai potrivit sa fie ingrijit un pacient aflat in stare terminala";"Unde hotaraste pacientul";
"30 Sep 2011  16:57:21";26;"Cine trebuie sa decida renuntarea la tratamentul curativ si trecerea la ingrijirile paliative in cazul unuipacient in stare terminala, competent decizional?";Pacientul;"Nimeni nu are dreptul de a decide "
"30 Sep 2011  16:57:21";27;"Care tip de ingrijire este cel mai indicat, in opinia dvs., pentru un pacient aflat in stare terminala?";;"cel mai adecvat bolii pacientului"
"30 Sep 2011  16:57:21";28;"Directiva in avans ar fi un instrument util in practica medicala? Va rugam sa motivati raspunsul.";"Nu stiu ce presupune directiva in avans";
"30 Sep 2011  16:57:21";29;"Cine considerati ca trebuie sa decida asupra tratamentului si ingrijirilor unui pacient aflat in stare terminala, competent decizional?";Pacientul;
